,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
3390,7,1890,second round,2,6.0,18.0,TP Borden,0,3,grass,M Smith,usopen,4
3785,8,1890,second round,2,14.0,24.0,P Manchester,1,3,grass,P Knapp,usopen,4
4178,9,1890,second round,2,1.0,6.0,A Empie Wright,0,1,grass,JW Carver,usopen,4
4467,10,1890,second round,2,15.0,22.0,SWB Moorehead,1,3,grass,O Campbell,usopen,4
4754,11,1890,second round,2,15.0,22.0,B Lamb,1,3,grass,J Ryerson,usopen,4
5044,12,1890,second round,2,13.0,21.0,EL Hall,1,3,grass,Keene,usopen,4
5333,13,1890,second round,2,17.0,22.0,CP Howland,1,3,grass,PS Sears,usopen,4
5624,14,1890,second round,2,21.0,25.0,F Hovey,2,3,grass,B Huntington,usopen,4
6188,16,1890,second round,2,9.0,18.0,C Byrnes,0,3,grass,GW Lee,usopen,4
48,1,1890,third round,3,9.0,18.0,M Chace,0,3,grass,C Hobart,usopen,4
860,2,1890,third round,3,8.0,18.0,H Tallant,0,3,grass,VG Hall,usopen,4
1526,3,1890,third round,3,21.0,25.0,J Clark,1,3,grass,CA Chase,usopen,4
2062,4,1890,third round,3,4.0,18.0,M Smith,0,3,grass,P Knapp,usopen,4
2591,5,1890,third round,3,11.0,17.0,JW Carver,1,2,grass,O Campbell,usopen,4
2993,6,1890,third round,3,21.0,27.0,Keene,2,3,grass,J Ryerson,usopen,4
3391,7,1890,third round,3,23.0,24.0,PS Sears,2,3,grass,B Huntington,usopen,4
3786,8,1890,third round,3,10.0,18.0,O Englestrom,0,3,grass,GW Lee,usopen,4
45,1,1890,quarterfinals,5,23.0,26.0,VG Hall,2,3,grass,C Hobart,usopen,4
857,2,1890,quarterfinals,5,16.0,24.0,CA Chase,1,3,grass,P Knapp,usopen,4
1524,3,1890,quarterfinals,5,9.0,19.0,J Ryerson,0,3,grass,O Campbell,usopen,4
2060,4,1890,quarterfinals,5,10.0,23.0,GW Lee,1,3,grass,B Huntington,usopen,4
47,1,1890,semifinals,6,15.0,23.0,C Hobart,0,3,grass,P Knapp,usopen,4
859,2,1890,semifinals,6,18.0,26.0,B Huntington,2,3,grass,O Campbell,usopen,4
44,1,1890,final,7,17.0,20.0,P Knapp,1,3,grass,O Campbell,usopen,4
50,1,1891,first round,1,9.0,22.0,EK Rowland,1,3,grass,H Colby,usopen,4
1527,3,1891,first round,1,15.0,20.0,M Fielding,1,3,grass,EL Hall,usopen,4
